"ID","O","C","H","L","V","BV","Mean","T","MarketName","Reward"
"1",0.015274861722542,-0.0230436464358597,-0.00214955170817996,-0.0161742574982048,0.41900609601549,0.411877670063884,-0.00896560923015359,2015-12-15,"BTC-ETH",-0.896560923015359
"1",-0.0365030374725382,0.00119232904640984,0.0407300813994816,-0.0328384856078816,0.500554192042419,0.485357745228881,0.00523556686114984,2015-12-16,"BTC-ETH",0.523556686114984
"1",0.0154627279021464,-0.0636363636363636,-0.0786511238552169,-0.04816363811172,-0.394835821790769,-0.423501866689308,-0.0644989969450899,2015-12-17,"BTC-ETH",-6.44989969450899
"1",-0.0636363636363636,-0.041747572815534,-0.0688255449178668,-0.00505553002257563,-0.407574141327598,-0.437243680161527,-0.0387069535120589,2015-12-18,"BTC-ETH",-3.87069535120589
"1",-0.041747572815534,-0.00962006079027355,-0.0306359223300972,-0.0328781725888325,0.105960062540682,0.0926574016548525,-0.0317320099255585,2015-12-19,"BTC-ETH",-3.17320099255585
"1",-0.00962006079027355,0.0388693663971027,0.0992743716479126,0.0261280790245798,0.257929670485363,0.325725761091943,0.0635603210562464,2015-12-20,"BTC-ETH",6.35603210562464
"1",0.0506340121022398,0.00265878877400297,-0.0373463075079837,1.02301267000584e-05,0.471525454911834,0.445554000701748,-0.0197487313680986,2015-12-21,"BTC-ETH",-1.97487313680986
"1",-0.00824732229795522,-0.0265124729915537,-0.0104062655277666,0.0104550825307029,-0.310800860805298,-0.307723224118644,-0.000381005756873951,2015-12-22,"BTC-ETH",-0.0381005756873951
"1",-0.0268033342169596,-0.0269369101245453,-0.0427274813978843,-0.0635038750272087,0.312763624575971,0.241718624847632,-0.052820148378387,2015-12-23,"BTC-ETH",-5.2820148378387
"1",-0.0404093903533994,-0.00945562749804309,-0.0308071195568012,0.00095134106658304,-0.295130988752918,-0.308467251008866,-0.0155536459293376,2015-12-24,"BTC-ETH",-1.55536459293376
"1",-0.00765369148684513,-0.00299355757103161,0.00635521147958398,0.0184309151195067,-0.242123330098273,-0.235283382397951,0.0122523681934218,2015-12-25,"BTC-ETH",1.22523681934218
"1",0.0120352369702138,0.0699194246870162,0.0752533969792109,0.0101383417024143,0.397949665281853,0.454632322068502,0.0432604379972801,2015-12-26,"BTC-ETH",4.32604379972801
"1",0.0771835792537072,-0.00358150374095426,-0.00924073544822337,0.0510700618887892,-0.469351866644188,-0.457318378245224,0.0194509580639443,2015-12-27,"BTC-ETH",1.94509580639443
"1",-0.0133140910703265,-0.0173120953248481,-0.0192788461538461,-0.0212453553877503,0.492451223298531,0.457344609606176,-0.0202433910129535,2015-12-28,"BTC-ETH",-2.02433910129534
"1",-0.0175517219302956,0.0215403424207958,-0.000245110054414465,0.00157670758962734,-0.0628922207702654,-0.058863620842119,0.000647551804144172,2015-12-29,"BTC-ETH",0.0647551804144172
"1",0.0125668569824507,0.0663239780653136,0.0777679709718545,0.0118550897410425,0.314688000140699,0.379544551724263,0.0454417118285373,2015-12-30,"BTC-ETH",4.54417118285373
"1",0.0721930693069307,-0.0049954001839927,0.0450591446769792,0.0731771174237465,0.804326826978495,0.931595601355952,0.0584062674767098,2015-12-31,"BTC-ETH",5.84062674767098
"1",0.00733206207320048,0.00470612165648078,-0.0422456726918121,-0.00437254865164099,-0.48610670006966,-0.501800196400807,-0.0240170531012618,2016-01-01,"BTC-ETH",-2.40170531012618
"1",-0.0050144152980919,-0.00939576316419107,0.0136363636363637,0.00842537791683948,-0.365308859199811,-0.362599629904584,0.0110777944361153,2016-01-02,"BTC-ETH",1.10777944361153
"1",-0.0141516604707084,0.0516233917042129,0.0301883408071747,0,1.72520178295586,1.79083918635062,0.0154048933190541,2016-01-03,"BTC-ETH",1.54048933190541
"1",0.0467699352818858,-0.026474797265066,-0.0118921177720126,-0.065438029195716,-0.0231066493263835,-0.0685591415604409,-0.0377161194944742,2016-01-04,"BTC-ETH",-3.77161194944742
"1",-0.0324979688769452,-0.000108887981488987,-0.0157136563876651,0.0816599999999999,-0.382667984819767,-0.361080148204441,0.0298946135831382,2016-01-05,"BTC-ETH",2.98946135831382
"1",0.0251091199350357,0.00833083771201429,0.00437715109227376,0.00466412735979899,-0.273071046705571,-0.272346919086763,0.00451832228576645,2016-01-06,"BTC-ETH",0.451832228576645
"1",0.000207043064957453,-0.074047574047574,-0.00272268293443732,-0.0532527226800282,1.17771976014974,1.08734930361668,-0.0275833499338997,2016-01-07,"BTC-ETH",-2.75833499338997
"1",-0.0683055683055684,0.0587023186419591,-0.0263896336014299,-0.0105021699300665,-0.262882905145297,-0.261451315863427,-0.0187793755106886,2016-01-08,"BTC-ETH",-1.87793755106886
"1",0.0521823968933991,0.00570127521276496,0.0142408694135681,0.058731078651906,-0.16317396759523,-0.141260730803705,0.0357319098457888,2016-01-09,"BTC-ETH",3.57319098457888
"1",0.00569665866410831,0.0135333747170087,0.022593066874211,0.00765897830806626,0.270296500095818,0.298388096013093,0.015218949929105,2016-01-10,"BTC-ETH",1.5218949929105
"1",0.0137661578908932,0.0681233759507864,0.0541262887738395,-0.00991644223465231,2.55279230753186,2.67044320509548,0.0227389131440304,2016-01-11,"BTC-ETH",2.27389131440304
"1",0.0577162050210711,0.109503330803609,0.221549646967954,0.0923551922477809,1.0132679354217,1.26221865225318,0.160253086923622,2016-01-12,"BTC-ETH",16.0253086923622
"1",0.120162776739613,-0.0161845625342007,-0.0721649484536081,0.0330618968768491,-0.658012490781309,-0.658134999338591,-0.0251614780110396,2016-01-13,"BTC-ETH",-2.51614780110396
